,Papel,Tipo,Empresa,Setor,Subsetor,Cotação,Data últ cot,Min 52 sem,Max 52 sem,Vol $ méd (2m),Valor de mercado,Valor da firma,Últ balanço processado,Nro. Ações,P/L,P/VP,P/EBIT,PSR,P/Ativos,P/Cap. Giro,P/Ativ Circ Liq,Div. Yield,EV / EBITDA,EV / EBIT,Cres. Rec (5a),LPA,VPA,Marg. Bruta,Marg. EBIT,Marg. Líquida,EBIT / Ativo,ROIC,ROE,Liquidez Corr,Div Br/ Patrim,Giro Ativos,Ativo,Disponibilidades,Ativo Circulante,Dív. Bruta,Dív. Líquida,Patrim. Líq,Cart. de Crédito,Depósitos
0,AALR3,ON NM,ALLIAR ON NM,Análises e Diagnósticos,Análises e Diagnósticos,11.43,28/05/2021,8.63,13.25,10001300,1352090000,1915080000,31/03/2021,118293000,-20.61,1.13,62.77,1.38,0.53,23.34,-1.80,"0,0%",13.49,88.90,"-1,1%",-0.55,10.15,"21,4%","2,2%","-6,1%","0,8%","1,0%","-5,5%",1.11,0.66,0.38,2569670000,228654000,580437000,791650000,562996000,1201020000,0,0
1,ABCB4,PN N2,ABC Brasil PN N2,Intermediários Financeiros,Bancos,16.93,28/05/2021,11.23,16.93,11080100,3827710000,0,31/03/2021,226090000,10.53,0.87,0,0,0,0,0,"4,1%",0,0,"-16,3%",1.61,19.43,0,0,"0,0%","0,0%",0,"8,3%",0,0,0,48637100000,0,0,0,0,4391950000,0,0
2,ABEV3,ON,AMBEV S/A ON,Bebidas,Cervejas e Refrigerantes,17.85,28/05/2021,11.71,17.85,332839000,280945000000,266637000000,31/03/2021,15739200000,21.76,3.42,19.06,4.50,2.11,54.25,-22.07,"2,7%",13.48,18.09,"7,5%",0.82,5.21,"52,9%","23,6%","21,2%","11,1%","15,6%","15,7%",1.16,0.06,0.47,133418000000,19335700000,37059900000,5027160000,-14308500000,82044100000,0,0
3,ADHM3,ON,ADVANCED-DH ON,0,0,1.56,28/12/2020,1.07,3.24,2064,25440500,25440500,30/09/2019,16308000,-4.09,-1.29,-5.69,770.92,105.13,-1.43,-1.27,"0,0%",-5.81,-5.69,"43,5%",-0.38,-1.21,"100,0%","-13.548,5%","-18.860,6%","-1.847,5%","521,7%","31,5%",0.00,0,0.14,242000,0,23000,0,0,-19776000,0,0
4,AERI3,ON NM,AERIS ON NM,Máquinas e Equipamentos,Máq. e Equip. Industriais,9.10,28/05/2021,6.15,13.13,34218200,6972540000,7621030000,31/03/2021,766213000,0.00,7.04,0,0,2.51,5.90,64.79,"0,0%",0,0,0,0.00,1.29,0,0,0,"0,0%",0,0,2.65,1.48,0,2777570000,821209000,1895330000,1469700000,648488000,989867000,0,0
5,AFLT3,ON,AFLUENTE T ON,Energia Elétrica,Energia Elétrica,9.38,28/05/2021,7.24,10.46,24273,591737000,557281000,31/03/2021,63085000,31.34,3.06,30.01,16.49,2.80,10.75,14.20,"12,4%",28.05,28.26,"7,9%",0.30,3.07,"67,6%","55,0%","52,6%","9,3%","11,3%","9,8%",13.16,0.00,0.17,211451000,35144000,59584000,688000,-34456000,193540000,0,0
6,AGRO3,ON NM,BRASILAGRO ON NM,Agropecuária,Agricultura,31.50,28/05/2021,18.50,36.13,36587700,3224880000,3509110000,31/03/2021,102377000,11.33,1.86,8.76,3.08,1.13,7.01,36.63,"1,4%",11.39,9.53,"63,5%",2.78,16.91,"41,5%","35,2%","21,4%","12,9%","15,7%","16,4%",1.61,0.39,0.37,2859940000,387163000,1216500000,671395000,284232000,1731490000,0,0
7,AHEB3,ON,PARQUE ANHEMBI ON,Viagens e Lazer,Produção de Eventos e Shows,22.99,28/05/2021,20.00,32.20,7077,196427000,180556000,31/03/2021,8544000,-4.17,-7.84,-5.53,1.07,0.70,-3.48,-0.80,"0,0%",-6.59,-5.08,"53,5%",-5.51,-2.93,"19,2%","-19,3%","-25,6%","-12,6%","-14,1%","187,9%",0.52,0,0.65,281479000,15871000,61880000,0,-15871000,-25048000,0,0
8,AHEB5,PNA,PARQUE ANHEMBI PNA,Viagens e Lazer,Produção de Eventos e Shows,20.21,27/05/2021,16.82,25.50,695,172674000,156803000,31/03/2021,8544000,-3.67,-6.89,-4.86,0.94,0.61,-3.06,-0.71,"0,0%",-5.72,-4.41,"53,5%",-5.51,-2.93,"19,2%","-19,3%","-25,6%","-12,6%","-14,1%","187,9%",0.52,0,0.65,281479000,15871000,61880000,0,-15871000,-25048000,0,0
9,AHEB6,PNB,PARQUE ANHEMBI PNB,Viagens e Lazer,Produção de Eventos e Shows,30.00,14/05/2021,19.61,31.00,540,256320000,240449000,31/03/2021,8544000,-5.45,-10.23,-7.22,1.39,0.91,-4.54,-1.05,"0,0%",-8.78,-6.77,"53,5%",-5.51,-2.93,"19,2%","-19,3%","-25,6%","-12,6%","-14,1%","187,9%",0.52,0,0.65,281479000,15871000,61880000,0,-15871000,-25048000,0,0
